回数,賞,ID,song_by
20,金賞,1382,かもめはかもめ_by_研ナオコ
20,金賞,11698,グッド・ラック_by_野口五郎
20,金賞,2367,しあわせ芝居_by_桜田淳子
20,金賞,2665,シンデレラ・ハネムーン_by_岩崎宏美
20,金賞,2969,たそがれマイ・ラブ_by_大橋純子
20,金賞,6162,故郷へ…_by_八代亜紀
20,金賞,4029,ブルースカイ ブルー_by_西城秀樹
20,金賞,4050,プレイバック Part2_by_山口百恵
20,金賞,4602,UFO_by_ピンク・レディー
20,金賞,2210,LOVE ～抱きしめたい～_by_沢田研二
21,大賞,4336,魅せられて_by_ジュディ・オング
21,新人賞,143490,好きだから_by_井上望
21,新人賞,105124,HOW!ワンダフル_by_倉田まり子
21,新人賞,5848,私のハートはストップモーション_by_桑江知子
21,新人賞,2822,September_by_竹内まりや
21,新人賞,1189,おんなの出船_by_松原のぶえ
21,最優秀歌唱賞,1084,おもいで酒_by_小林幸子
21,最優秀新人賞,5848,私のハートはストップモーション_by_桑江知子
21,金賞,1065,おまえとふたり_by_五木ひろし
21,金賞,1084,おもいで酒_by_小林幸子
21,金賞,1265,カサブランカ・ダンディ_by_沢田研二
21,金賞,1435,関白宣言_by_さだまさし
21,金賞,2430,しなやかに歌って_by_山口百恵
21,金賞,3871,ビューティフル・ネーム_by_ゴダイゴ
21,金賞,3971,舟唄_by_八代亜紀
21,金賞,4301,万華鏡_by_岩崎宏美
21,金賞,4336,魅せられて_by_ジュディ・オング
21,金賞,38623,勇気があれば_by_西城秀樹
21,ロング・セラー賞,4668,夢追い酒_by_渥美二郎
21,ロング・セラー賞,3676,花街の母_by_金田たつえ
21,ロング・セラー賞,1483,北国の春_by_千昌夫
21,ロング・セラー賞,5574,みちづれ_by_牧村三枝子
22,大賞,386,雨の慕情_by_八代亜紀
22,新人賞,43165,あなた色のマノン_by_岩崎良美
22,新人賞,4596,ヤング・ボーイ_by_河合奈保子
22,新人賞,3634,ハッとして！Good_by_田原俊彦
22,新人賞,170,青い珊瑚礁_by_松田聖子
22,新人賞,1241,帰ってこいよ_by_松村和子
22,最優秀歌唱賞,928,大阪しぐれ_by_都はるみ
22,最優秀新人賞,3634,ハッとして！Good_by_田原俊彦
22,金賞,386,雨の慕情_by_八代亜紀
22,金賞,5776,あれから一年たちました_by_小林幸子
22,金賞,928,大阪しぐれ_by_都はるみ
22,金賞,6817,銀河伝説_by_岩崎宏美
22,金賞,1871,恋人よ_by_五輪真弓
22,金賞,2035,酒場でDABADA_by_沢田研二
22,金賞,38612,サンタマリアの祈り_by_西城秀樹
